report_date,market_and_exchange_names,open_interest_all,large_spec_net,commercial_net
2023-05-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13043,893,-1245
2023-05-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,11715,187,-624
2023-06-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13026,769,-1196
2023-06-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13251,743,-1187
2023-06-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15687,397,-927
2023-06-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,18829,-2094,990
2023-07-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,17008,-2076,1132
2023-07-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16302,-1855,804
2023-07-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15455,-1161,196
2023-07-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16017,-645,-178
2023-08-01 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14860,-539,-86
2023-08-08 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16743,-1149,456
2023-08-15 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15432,-712,14
2023-08-22 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,17262,1515,-1929
2023-08-29 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16172,1507,-2081
2023-09-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14962,2039,-2534
2023-09-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15423,2232,-2543
2023-09-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16670,1597,-1997
2023-09-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14844,1794,-2033
2023-10-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14447,1056,-1475
2023-10-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14683,1151,-1662
2023-10-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16561,327,-995
2023-10-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19678,-454,-438
2023-10-31 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19603,-1746,903
2023-11-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21749,-1677,794
2023-11-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21203,-1344,481
2023-11-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21939,-876,445
2023-11-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23027,-1745,792
2023-12-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23035,-2250,1387
2023-12-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21211,-2067,1188
2023-12-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23239,-2351,1305
2023-12-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22526,-2302,1092
2024-01-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23579,-2221,1234
2024-01-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26846,-1618,779
2024-01-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,23286,-994,-25
2024-01-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22815,-1661,887
2024-01-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20679,-1798,1017
2024-02-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20897,-1523,757
2024-02-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24769,-1921,1152
2024-02-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,25530,-2098,1202
2024-02-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,25229,-1967,960
2024-03-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27747,-1352,460
2024-03-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30398,-994,59
2024-03-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33196,-2096,1253
2024-03-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31238,-1075,109
2024-04-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29745,160,-1008
2024-04-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29074,-153,-838
2024-04-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29526,-363,-313
2024-04-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27932,0,-657
2024-04-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,24795,6,-530
2024-05-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26155,-783,134
2024-05-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27077,-177,-421
2024-05-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30694,-890,122
2024-05-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30255,-756,-148
2024-06-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31086,-1119,366
2024-06-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30503,-1138,449
2024-06-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30627,-723,225
2024-06-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30171,-624,241
2024-07-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27063,-912,512
2024-07-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28241,-118,-88
2024-07-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,31183,-579,181
2024-07-23 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32435,-661,182
2024-07-30 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28605,-1002,327
2024-08-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27535,538,-719
2024-08-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,27874,395,-676
2024-08-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29630,-243,17
2024-08-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29817,-166,-132
2024-09-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,26859,108,-351
2024-09-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28157,-353,85
2024-09-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30995,-973,596
2024-09-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,30542,-1546,1093
2024-10-01 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28539,-1684,1453
2024-10-08 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,29382,-1282,872
2024-10-15 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,34494,-1872,1466
2024-10-22 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33562,-1645,1114
2024-10-29 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33787,-1869,1242
2024-11-05 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32011,-1457,927
2024-11-12 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,38531,-1798,1151
2024-11-19 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,41203,-2084,1294
2024-11-26 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,40510,-1196,506
2024-12-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37021,-1595,1040
2024-12-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37588,-720,236
2024-12-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,42524,171,-483
2024-12-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37125,-129,-146
2024-12-31 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33893,-319,-44
2025-01-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,35079,1190,-1408
2025-01-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,35471,1335,-1520
2025-01-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,38556,739,-1007
2025-01-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,34317,1165,-1473
2025-02-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32892,786,-918
2025-02-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32949,-367,307
2025-02-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,33833,-367,141
2025-02-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,32060,204,-261
2025-03-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,28209,614,-516
